"","WT_rep1","WT_rep2","WT_rep3","14_rep1","14_rep2","14_rep3","15_rep1","15_rep2","15_rep3","16_rep1","16_rep2","16_rep3"
"POT009546",23.3063298639745,23.5403778119997,23.4643842134323,23.5273109087986,23.2487568469207,23.3869286711923,22.937022455003,23.6070457999336,23.0646059480715,23.2833382213483,23.4469530299611,23.3029880343766
"POT001278",25.3070946108998,25.3834390481885,25.46547448579,25.2686730597667,25.270028640984,25.2268875239064,25.7545281028369,25.5120457389744,25.3769642198627,24.9373278386129,25.2118568141269,25.1476353524112
"POT000597",22.2378599776824,22.5295525631141,22.1292138291224,22.7250899474546,22.4463725548959,22.7358906461927,23.0075118737197,22.381605261706,22.786062987479,22.5125581934704,22.6096404744368,22.827801661532
"POT010986",22.3647149805037,0,22.7165540682017,22.3872705950343,22.9851665160125,22.7327065266318,22.9025142293431,23.0557974329036,23.0614450301573,22.9474942593144,22.9132568555882,22.8812155519736
"POT007088",23.1057352645089,23.0697604878079,23.3156183761193,22.8243675725076,22.6449784559034,22.7048053813665,23.1615717070006,22.7246945317389,22.922795610656,22.7707622774206,23.0122091794357,22.8453866781903
"POT007906",21.9360340060945,21.820107269742,21.971689486525,22.1365856574843,21.9015386704835,22.1611564920648,22.1197795698372,21.8717729139762,22.2712475759966,22.0818682774259,22.0596309622408,22.0890003963284
"POT004574",22.1808015106476,22.1083700330184,24.1607719272109,21.7544210607771,21.9258586393622,0,22.0140667964413,0,0,21.6876951882747,21.6409033234873,21.529361919567
"POT005828",20.5420796609903,0,21.1021987159872,21.4690634437383,21.8564665634364,21.8025053212121,21.9378665932245,21.3505680347554,21.7592250275949,21.8008477766672,21.3397912982788,21.2817263188092
"POT004011",25.7361900879807,25.3365738424299,26.0176092308894,25.289788985073,25.9803714665385,25.9824837742791,25.8156780206834,25.8302122771772,25.996171233636,25.8523620568568,25.6722803027233,25.8243481476345
"POT005382",25.1258132499619,25.5345420305435,25.4188298015807,25.2169707881864,25.5882365428802,25.3287212137233,25.4003799366276,25.4246714598567,25.7275172968637,25.528861360362,25.4635737631147,25.515538876099
"POT009862",23.178280669856,24.2140083743306,24.0948257587808,24.6216503753077,24.5177328152551,24.4922223913577,24.7148680588015,24.1994039614218,24.5564882798243,24.7437587130021,24.7226532962112,24.4818536184126
"POT008022",25.9175015611292,26.2078232766531,26.0229087425674,25.9682916753297,26.1186236592922,26.2128773504581,26.0611400964273,26.1555702435223,26.1872581245448,26.2097020404054,26.0877224509939,26.1675636208646
"POT001334",24.5052460493087,23.9634048353518,24.3029183305457,24.541205350457,24.6085129284311,24.4595146682324,24.2898241560293,24.7737428869186,24.6005953348338,24.8847872389935,24.759031956263,24.6033148361874
"POT004733",21.7834874765194,0,21.7871198120174,0,21.8158148088518,0,21.9062814191203,22.0259397799167,21.9102035316106,22.1838025477973,22.0723145105628,22.2116340556858
"POT009501",23.7983776616219,23.3071641132504,23.5920637012127,23.390475476175,24.1532910124204,24.022506662493,23.4672483105225,23.9055471297338,23.9768367844627,23.7714274064354,23.8179236128493,23.8973528539863
"POT008482",25.5810403265058,25.6302871247886,25.4704170900684,25.250789071848,25.5069111575601,25.315030952529,25.2384140696385,25.5556109593175,25.4076261650017,25.290632851466,25.2475694554458,25.1138635943497
"POT001684",25.0265646412577,25.1037360193774,25.2323146422717,25.3491510809265,25.0447272894537,25.8515759703287,26.1255965063045,25.3252250159046,25.5451886199653,25.4637608305246,25.2749408568238,25.6223208765007
"POT002575",24.7493452968683,24.7694109199224,24.8973066870063,24.7668358051575,24.9555779009427,24.7232263834639,24.9801099350179,24.9114567247326,24.775652876103,24.543331129389,24.7418059999149,24.6145912343879
"POT000735",23.9829406710452,23.8282279268744,24.1691322876419,24.0204733847484,24.0067588834794,24.0505096420477,24.3489485452972,24.1091674986519,24.1350046731278,23.957483268075,24.2383411749594,24.4220745215172
"POT000803",23.1307540451193,22.6702715644407,23.1715775340592,23.0541253378485,23.1445891661392,22.8328892417512,22.8754336493605,23.0771971187743,23.0797380217893,23.0800634551825,23.1576917124494,22.7843065483141
"POT007771",23.4787715940811,23.2088987497852,23.1828028955469,22.9912526387157,23.3820540291853,23.3778247992137,23.2618401227409,23.4384751239049,23.390475476175,23.0698424176867,0,23.0764307122399
"POT000223",30.0449200610809,30.0361673228885,30.0518064466661,30.0484323270151,29.888264160668,29.9091347134462,30.2280259766954,29.965404496984,30.1831693257909,30.1960111695508,29.8182863628982,30.1062446290124
"POT009684",27.3369653541214,27.8495969481217,27.8107229286407,27.777936515309,27.9393247107855,27.9687860405563,27.7707093562621,27.8431403210506,27.9970654872755,27.6774781418281,27.6375464710067,28.0069407495053
"POT008264",0,26.4233735750176,25.3799740043934,25.3061560013053,25.1538321728525,25.0878438235629,25.7803667505684,24.9348109868129,24.481052925262,24.591036506409,0,25.1774824983054
"POT000221",22.5700595110346,22.6007541132862,22.6103841723491,23.1720202916432,22.5127510703625,22.6516280960882,0,23.0769362601284,23.0838169000816,23.0659702454336,22.6251112820762,0
"POT002753",23.07789794276,23.387586145132,23.2024263787878,22.9801709632801,23.1996885181346,23.789450064811,24.1758467679023,23.4191835412414,23.5206129260919,23.4760539555603,23.7817679113148,23.4888561116025
"POT002027",23.2824900760911,23.0916820164224,22.7957051785344,22.8591427030068,23.1926931462925,23.0172991369533,23.2028896552001,23.3807337261364,23.2115003841097,23.2395070480797,23.1639837400996,23.2309890833309
"POT007081",24.8821769535639,25.2529194707488,25.5029116643886,25.432211305387,25.3499609392296,25.3772621708113,25.1034959236776,25.0839142621594,25.292950942156,25.2218823780592,25.4401239908945,25.3962695056824
"POT004966",24.4531847117656,24.0988462023616,24.5025778722715,24.639369415991,24.7177466981229,24.7660269778945,24.0941008875656,24.428733815408,24.675944976445,24.5194735696399,24.4860960284172,24.4911215642277
"POT001817",23.7631418399334,0,23.8123520338977,24.2565951288922,23.5938880214316,23.7882555335559,24.0640631579367,23.8521477120961,23.8683478266336,23.9778850008137,24.1133072290128,23.9842452936278
"POT003630",21.3178277104575,21.7871198120174,0,21.3694354701943,21.4415177156285,21.4459181070904,21.4244984759919,21.1756640596207,21.387796473527,0,21.2537274769536,21.5788830788713
"POT008897",22.1553309003453,0,23.0981715503829,22.1799212354972,22.284383580927,21.9262930988237,22.209107053268,22.3170824383048,21.6444724439587,22.0091533986198,22.1814386161467,22.2138897511566
"POT007713",22.60073143172,0,22.5136909761229,23.1423937923741,22.5866913805474,22.5158335988731,23.0397249873835,22.3435912949392,22.384164004027,22.6322302234769,22.7681592813611,22.7721325113743
